"filename", "language", "Markdown", "Python", "pip requirements", "Properties", "Docker", "Ini", "YAML", "Shell Script", "Jupyter", "Makefile", "Batch", "comment", "blank", "total"
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\cascade_rcnn_r101_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\cascade_rcnn_r50_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_r101_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_r50_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_r50_fpn_dpool_1x_coco.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_r50_fpn_mdconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_r50_fpn_mdconv_c3-c5_group4_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_r50_fpn_mdpool_1x_coco.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\faster_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
